Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
3177638617,15233,65590,3072,1,1,32,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,fusedQKVMatmulX
3177657946,1151,65595,,,,,,,,,,0.000,20.851,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3177662074,2016,65600,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,ropeRotationWithCacheCopy
3177666202,1152,65605,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3177669722,29343,65610,32,1,1,64,1,1,160,0.009,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,processHeadsFlashAttention
3177700953,1121,65615,,,,,,,,,,0.000,21.409,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3177711258,10591,65620,2048,1,1,32,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,matrixVectorGenericWithResidual
3177725530,1567,65625,,,,,,,,,,0.000,15.316,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3177728666,1535,65630,8,1,1,256,1,1,20,0.001,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,reductionOneBlockWithLayer
3177734746,1119,65635,,,,,,,,,,0.000,21.448,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3177745049,84001,65640,8192,1,1,32,1,1,64,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,fusedRmsNormFFNGateUp
3177835098,1088,65645,,,,,,,,,,0.000,22.059,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3177843322,38303,65650,2048,1,1,32,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,matrixVectorGenericWithResidual
3177900665,353,65660,,,,,,,,,,0.000,67.989,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3177903577,1761,65665,8,1,1,256,1,1,20,0.001,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,reductionOneBlockWithLayer
3177908633,353,65670,,,,,,,,,,0.000,67.989,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3177910842,1280,65675,8,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,mapContextWithQuantize
3177917882,351,65680,,,,,,,,,,0.000,68.376,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3177921690,15008,65685,3072,1,1,32,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,fusedQKVMatmulX
3177940441,1153,65690,,,,,,,,,,0.000,20.815,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
