Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
863582576,8223,919,,,,,,,,,,0.131,15941.612,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
863591760,7840,923,,,,,,,,,,0.131,16720.405,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
863600528,1408,927,,,,,,,,,,0.000,17.045,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
863611312,215649,931,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
863834482,7936,935,,,,,,,,,,0.131,16518.137,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
863843442,7808,939,,,,,,,,,,0.131,16788.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
863852178,1152,943,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
863857074,215682,947,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
864074099,8001,951,,,,,,,,,,0.131,16383.903,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864083092,7680,955,,,,,,,,,,0.131,17068.706,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864091700,1152,959,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864094644,215681,963,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
864313717,7744,967,,,,,,,,,,0.131,16927.656,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864322390,7807,971,,,,,,,,,,0.131,16791.062,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864331158,1152,975,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864340406,215681,979,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
864561527,7904,983,,,,,,,,,,0.131,16584.992,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864570392,8032,987,,,,,,,,,,0.131,16320.587,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864579352,1152,991,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864586168,215746,995,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
864809338,8160,999,,,,,,,,,,0.131,16064.703,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864818458,7744,1003,,,,,,,,,,0.131,16927.656,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864827162,1184,1007,,,,,,,,,,0.000,20.270,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
864831898,215682,1011,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
865048955,8193,1015,,,,,,,,,,0.131,15999.946,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
865058107,7969,1019,,,,,,,,,,0.131,16449.709,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
865067004,1312,1023,,,,,,,,,,0.000,18.293,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
865077692,215650,1027,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
865301886,5984,1031,,,,,,,,,,0.131,21906.378,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
