demo,kernel,implementation,metric,unit,value,launches,source,file
15-alignment-probe,stencil,CUDA,global_store_sectors,sectors,589824.0,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-alignment-probe,stencil,CUDA,sectors_per_request_load,sectors,4.835,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-alignment-probe,stencil,CUDA,sectors_per_request_store,sectors,4.5,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-kernel-time,elementwise,CUDA,dram_bytes_read,bytes,16779904.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,elementwise,CUDA,dram_bytes_write,bytes,0.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,elementwise,CUDA,global_load_sectors,sectors,524288.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,elementwise,CUDA,global_store_sectors,sectors,524288.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,elementwise,CUDA,sectors_per_request_load,sectors,4.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,elementwise,CUDA,sectors_per_request_store,sectors,4.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,elementwise,TornadoVM,dram_bytes_read,bytes,16780480.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,elementwise,TornadoVM,dram_bytes_write,bytes,0.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,elementwise,TornadoVM,global_load_sectors,sectors,655360.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,elementwise,TornadoVM,global_store_sectors,sectors,655360.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,elementwise,TornadoVM,sectors_per_request_load,sectors,5.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,elementwise,TornadoVM,sectors_per_request_store,sectors,5.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,polynomial,CUDA,dram_bytes_read,bytes,16781056.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,polynomial,CUDA,dram_bytes_write,bytes,0.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,polynomial,CUDA,global_load_sectors,sectors,524288.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,polynomial,CUDA,global_store_sectors,sectors,524288.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,polynomial,CUDA,sectors_per_request_load,sectors,4.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,polynomial,CUDA,sectors_per_request_store,sectors,4.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,polynomial,TornadoVM,dram_bytes_read,bytes,16784512.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,polynomial,TornadoVM,dram_bytes_write,bytes,0.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,polynomial,TornadoVM,global_load_sectors,sectors,655360.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,polynomial,TornadoVM,global_store_sectors,sectors,655360.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,polynomial,TornadoVM,sectors_per_request_load,sectors,5.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,polynomial,TornadoVM,sectors_per_request_store,sectors,5.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,stencil,CUDA,dram_bytes_read,bytes,16780160.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,stencil,CUDA,dram_bytes_write,bytes,0.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,stencil,CUDA,global_load_sectors,sectors,1835006.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,stencil,CUDA,global_store_sectors,sectors,524288.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
